Address,AreaName,Price,lat,lng,postal_code,neighbourhood
"#2604 - 1 King St Toronto, ON",Weston,319800,43.701572,-79.52018699999999,M9N 1K8,King Street
"#713 - 15 Greenview Ave Toronto, ON",Newtonbrook,560000,43.78017,-79.418251,M2M 4M7,Greenview Avenue
"#1711 - 45 Charles St Toronto, ON",Downtown,448888,43.668777,-79.383995,M4Y 1S2,Charles Street East
"#2011 - 215 Fort York Blvd Toronto, ON",Niagara,399000,43.636345,-79.404808,M5V 4A2,Angelique Street
"#4004 - 21 Grenville St Toronto, ON",Downtown,704900,43.661792999999996,-79.384506,M4Y 0B9,Grenville Street
"#1310 - 8 Mercer St Toronto, ON",Downtown,389000,43.645984999999996,-79.389938,M5V 0C4,Mercer Street
"#201 - 3 Pemberton Ave Toronto, ON",Newtonbrook,283000,43.780453,-79.413811,M2M 4M1,North York
"#1103 - 3 Marine Parade Dr Toronto, ON",Mimico,579000,43.630383,-79.47627299999999,M8V 3Z4,Lake Shore Boulevard West
"61 Boydwood Lane Toronto, ON",Rouge,3599000,43.806259000000004,-79.158813,M1B 1H2,Boydwood Lane
"75 Highland Cres Toronto, ON",York Mills,8995000,43.743626,-79.391846,M2L 1G7,Highland Crescent
"#816 - 210 Victoria St Toronto, ON",Downtown,329000,43.654648,-79.37925,M5B 2R3,Yonge Street
"17 Tineta Cres Toronto, ON",White Haven,650000,43.786873,-79.256088,M1S 2Y5,Tineta Crescent
"#612 - 800 Lawrence Ave Toronto, ON",Lawrence Heights,359000,43.714591999999996,-79.452911,M6A 0B1,Lawrence Avenue West
"#525 - 380 MACPHERSON AVE Toronto, ON",Midtown Toronto,699000,43.676369,-79.405739,M4V 3E4,Macpherson Avenue
"#2704 - 103 THE QUEENSWAY WAY Toronto, ON",Swansea,789900,43.636292,-79.470467,M6S 5B3,The Queensway
"#725 - 10 CAPREOL CRT Toronto, ON",Downtown,379000,43.640223999999996,-79.39595,M5V 4A3,Capreol Court
"#2103 - 151 DAN LECKIE WAY Toronto, ON",Downtown,568000,43.639782000000004,-79.397949,M5V 4B2,Dan Leckie Way
"#1407 - 914 YONGE ST Toronto, ON",Midtown Toronto,415000,43.674103,-79.388809,M4W 3C8,Old Toronto
"77 MCGILL ST Toronto, ON",Downtown,1299000,43.6604,-79.379234,M5B 1H3,Church Street
"#307 - 20 BLUE JAYS WAY Toronto, ON",Downtown,650000,43.643845,-79.391823,M5V 3W6,Blue Jays Way
"#902 - 150 EAST LIBERTY ST Toronto, ON",Liberty Village,388000,43.638775,-79.41626,M6K 3R5,Ontario
"#511 - 44 GERRARD ST W Toronto, ON",Downtown,375000,43.658798,-79.384392,M5G 2K2,Bay Street
"#Th6 - 6 PIRANDELLO ST Toronto, ON",King West Village,589900,43.63818,-79.413895,M6K 3P4,East Liberty Street
"48 BALMORAL AVE Toronto, ON",Midtown Toronto,1399000,43.68544,-79.395966,M4V 1J4,Balmoral Avenue
"148 BLYTHWOOD RD Toronto, ON",Midtown Toronto,2799000,43.717831,-79.395996,M4N 1A4,Blythwood Road
"#432 - 231 FORT YORK BLVD Toronto, ON",Niagara,450000,43.636837,-79.406052,M5V 4A2,Fort York Boulevard
"#N707 - 455 FRONT ST E Toronto, ON",Downtown,449900,43.652714,-79.3563,M5A 0J2,Diamond Jubilee Promenade
"#711 - 2055 DANFORTH AVE Toronto, ON",East Danforth,397500,43.685455,-79.313133,M4C 1J8,Danforth Avenue
"712 BROCK AVE Toronto, ON",Wallace Emerson,939000,43.661915,-79.439941,M6H 3P2,Brock Avenue
"#319 - 900 MOUNT PLEASANT RD Toronto, ON",North Toronto,380000,43.711781,-79.39164,M4P 3J9,Mount Pleasant Road
"#630 - 155 DALHOUSIE ST Toronto, ON",Downtown,565000,43.65765,-79.376762,M5B 2R2,Church Street
"#915 - 50 WESTERN BATTERY RD Toronto, ON",Niagara,349000,43.639881,-79.414192,M6K 3P1,Western Battery Road
"1004 126 Simcoe Street Toronto, ON",Entertainment District,573000,43.649025,-79.38713800000001,M5H 4E6,Simcoe Street
"#804 - 210 SIMCOE ST Toronto, ON",Downtown,589000,43.652451,-79.388931,M5T 0A9,Michael Sweet Avenue
"#202 - 8 MERCER ST Toronto, ON",Downtown,299000,43.645984999999996,-79.389938,M5V 0C4,Mercer Street
"#4001 - 38 GRENVILLE ST Toronto, ON",Downtown,599000,43.661896,-79.38575,M4Y 1A5,Ontario
"#411 - 10 YONGE ST Toronto, ON",Downtown,739900,43.642464000000004,-79.375519,M5E 1R4,Yonge Street
"#707 - 383 ELLIS PARK RD Toronto, ON",Swansea,1299900,43.652039,-79.470833,M6S 5B2,Ellis Park Road
"#2111 - 290 ADELAIDE ST W Toronto, ON",Downtown,508000,43.647942,-79.390945,M5V 1P6,Adelaide Street West
