Address,AreaName,Price,lat,lng,postal_code,neighbourhood
"93 DAIRY DR Toronto, ON",Scarborough Junction,678000,43.701309,-79.27533,M1L 0G1,Scarborough
"#2010 - 100 MORNELLE CRT Toronto, ON",Morningside,255999,43.786823,-79.19548,M1E 4X2,Scarborough
"195 GILTSPUR DR Toronto, ON",Downsview,619900,43.738079,-79.501282,M3L 1N4,North York
"#1016 - 55 DE BOERS DR Toronto, ON",Toronto,352500,43.75103,-79.465858,M3J 0G5,North York
"#2308 - 2000 ISLINGTON AVE Toronto, ON",Kingsview Village,479900,43.697365,-79.546089,M9P 3T5,Etobicoke
"#13 - 1415 KENNEDY RD Toronto, ON",Dorset Park,688888,43.764812,-79.280273,M1P 2L6,Toronto
"3 JASMINE RD Toronto, ON",Humberlea,599000,43.721088,-79.538445,M9M 2P8,North York
"#809 - 40 PANORAMA CRT Toronto, ON",Rexdale,59500,43.747585,-79.579842,M9V 4M1,Etobicoke
"35 MAGNOLIA AVE Toronto, ON",Kennedy Park,749000,43.720936,-79.254662,M1K 3K3,Scarborough
"#513 - 4200 BATHURST ST Toronto, ON",Wilson Heights,294000,43.749321,-79.437149,M3H 6C7,Toronto
"#25 - 21 REPLIN RD Toronto, ON",Lawrence Heights,575000,43.717735,-79.442039,M6A 2M8,Toronto
"198 GLENDORA AVE Toronto, ON",Willowdale,1528000,43.761971,-79.397667,M2N 2W5,North York
"53 ASPENWOOD DR Toronto, ON",Hillcrest Village,2000000,43.807964,-79.366913,M2H 2E8,North York
"627 CALEDONIA RD Toronto, ON",Briar Hill - Belgravia,650000,43.694397,-79.462372,M6E 4V7,York
"#903 - 335 MILL RD Toronto, ON",Eringate - Centennial - West Deane,259900,43.639858,-79.584564,M9C 1Y6,Etobicoke
"#730 - 2885 BAYVIEW AVE Toronto, ON",Bayview Village,524888,43.767937,-79.387955,M2K 0A3,North York
"124 GREENWICH SQ Toronto, ON",Eglinton East,699800,43.743881,-79.231148,M1J 3L3,Scarborough
"#2813 - 181 VILLAGE GREEN SQ Toronto, ON",Agincourt,293900,43.779205,-79.281517,M1S 0K5,Scarborough
"117 VEROBEACH BLVD Toronto, ON",Emery,699800,43.736176,-79.544945,M9M 1P8,North York
"43 JOHN CABOT WAY Toronto, ON",Jane and Finch,399900,43.738815,-79.51902,M3N 2T5,Toronto
"#821 - 165 LEGION RD N Toronto, ON",Mimico,314900,43.624207,-79.488228,M8Y 0B3,Etobicoke
"63 JARWICK DR Toronto, ON",Bendale,639000,43.764198,-79.241608,M1H 2H1,Scarborough
"22 MOSSBROOK CRES Toronto, ON",L'Amoreaux,699000,43.809433,-79.324379,M1W 2W9,Scarborough
"92 FRANK RIVERS DR Toronto, ON",Steeles,699900,43.818989,-79.325394,M1W 3N4,Scarborough
"90 CRITTENDEN SQ Toronto, ON",Malvern,549000,43.81366,-79.234749,M1B 1V1,Canada
"#1304 - 2 ANNDALE DR Toronto, ON",Willowdale,418888,43.760464,-79.410248,M2N 0G5,North York
"45 MILLENNIUM DR Toronto, ON",Brookhaven - Amesbury,599900,43.695271,-79.497498,M6M 5K5,North York
"6 WOODY VINEWAY WAY Toronto, ON",Bayview Village,529000,43.788269,-79.368301,M2J,North York
"84 MUIRHEAD RD Toronto, ON",Pleasant View,599000,43.780949,-79.339569,M2J 3W4,North York
"#1101 - 335 MILL RD Toronto, ON",Eringate - Centennial - West Deane,419900,43.639858,-79.584564,M9C 1Y6,Etobicoke
"#2611 - 88 CORPORATE DR Toronto, ON",Woburn,355000,43.780956,-79.249779,M1H 3G6,Toronto
"114 MEIGHEN AVE Toronto, ON",Woodbine Gardens,665000,43.703903,-79.295723,M4B 2H7,East York
"821 B OXFORD ST Toronto, ON",Mimico,778900,43.621113,-79.507195,M8Z 6C6,Etobicoke
"132 ELVASTON DR Toronto, ON",Victoria Village,1388800,43.728958,-79.315933,M4A 1N6,North York
"#2102 - 155 BEECROFT RD Toronto, ON",Willowdale,299000,43.765537,-79.413155,M2N 7C5,North York
"#1010 - 3043 FINCH WEST AVE Toronto, ON",Emery,309000,43.747166,-79.564651,M9M 0A6,Toronto
"571 CUMMER AVE Toronto, ON",Newtonbrook,1599000,43.793625,-79.387253,M2K 2M5,North York
"31 VESSEL CRES Toronto, ON",Port Union,756900,43.777721,-79.137276,M1C 5K7,Scarborough
"#109 - 165 CHEROKEE BLVD Toronto, ON",Pleasant View,372000,43.792374,-79.336693,M2J 4T7,North York
"37 GEMINI RD Toronto, ON",Bayview Woods - Steeles,1369000,43.788219,-79.388046,M2K 2G7,North York
"7 OVIDA AVE Toronto, ON",Eatonville,1569000,43.635109,-79.543159,M9B 1E2,Etobicoke
"#E 508 - 555 WILSON AVE Toronto, ON",Wilson Heights,319900,43.734035,-79.447968,M3H 0C6,North York
